"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""Green: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""Green: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
15.049591161679427,14.574647467206367,14.12434721243856,15.122066273808107,14.666885145183105,14.241985292420239,14.574647467206367,14.247502539575288,13.931992271832517,14.671695216873166,14.468743744177937,14.226849361316876,0,12.736713988021899,13.600430893381102,14.363164773249538,15.278846129918978,14.881092375862002,15.23866140346207,14.7690266704119,13.4860404885078,14.066801610362818,14.865247648517549,15.065367616685032,14.902831918105294,15.750486299435455,15.405515888084677,13.887622150482377,13.999884819620341,16.24113133249856,14.467997605656844,0,16.740471920933963,0,0,0
15.8520758243098,15.368236903524748,14.909221236534437,15.904711020646058,15.440958388398421,15.007653674331527,15.368236903524748,15.03236631595197,14.708805311084964,15.445108484822708,15.23378656729301,14.984144820265225,0,13.513011465492859,14.36911525401479,15.127674096989029,16.036026842108313,15.63543499020786,16.05302767037713,15.571084193666591,14.279987164451788,14.826496131299278,15.619827770000233,15.860810358620704,15.708676418475223,16.55469018750231,16.232242682840184,14.698633914705809,14.7953275617113,17.041068242759668,15.265935249352436,0,17.573067201724623,0,0,0
16.645655012908982,16.153018488952107,15.685375271464391,16.6780381606781,16.205805973870508,15.764186382270523,16.153018488952107,15.808511199453738,15.476925563743167,16.209366724229636,15.989759894371776,15.732452352217809,0,14.280671415198618,15.129151252191166,15.883171076925523,16.784231836988653,16.38084462326803,16.85840661973507,16.36455884149757,15.065508602034178,15.577319793756423,16.36548649998035,16.646929437267165,16.505931336821952,17.35239385644838,17.05092097311017,15.501648827841016,15.58144664037313,17.831637818588316,16.05535279813477,0,18.397336529707378,0,0,0
17.430427446908162,16.929089977103445,16.452907044551477,17.442218812080828,16.961598320124004,16.51175310425256,16.929089977103445,16.576034800409747,16.23645713022407,16.964632784603005,16.736826350959735,16.47193364498465,0,15.039792005996109,15.880647392346706,16.629812209109783,17.52362149636551,17.117475670264415,17.654927500529322,17.14952898080123,15.842652220974806,16.31941700298951,17.102376522706898,17.42383844235938,17.29467677455299,18.143310111325768,17.861541466505756,16.296626358724783,16.35835564546687,18.61294930215577,16.836343859476653,0,19.2133631644103,0,0,0
18.206490762928414,17.696548037213113,17.211913098775565,18.197414929639073,17.70849666671144,17.250514348209947,17.69654803721311,17.335033557049066,16.987502142053806,17.711061145082486,17.475140125049947,17.202741990868525,0,15.7904700776188,16.62370964289275,17.367746209691898,18.25434794515523,17.845475035452505,18.442713403652373,17.92607325439819,16.61148987731382,17.052927771678036,17.830643427752648,18.191649552448464,18.07498971739468,18.92721819537615,18.664144237068953,17.08360809466849,17.126166755556103,19.385111133913192,17.608987940352964,0,20.021229532766192,0,0,0
18.973941525453316,18.455488265990986,17.96248881550697,18.94378018701377,18.446653950499282,17.9806223063642,18.455488265990983,18.0856027570613,17.730160868193753,18.44879870644603,18.204847763175056,17.9250230652745,0,16.53280117592319,17.358441598785348,18.097114740355376,18.976555816239628,18.564982795616363,19.22188162467634,18.694272164502298,17.372099552035397,17.777986429360475,18.55042616866087,18.950473514449076,18.846948830107973,19.703955024388428,19.458782538737463,17.86265362855894,17.88499071755673,20.148230898247114,18.3733630856354,0,20.82101723743853,0,0,0
19.732875237512012,19.206005199391694,18.704728436604594,19.68146076443819,19.176215595088806,18.702221643102565,19.206005199391694,18.82783655860918,18.464531813031307,19.177985503479476,18.926088888477263,18.63891563910717,0,17.26687958911462,18.084944634538324,18.818053063382767,19.690382949714905,19.276132822376276,19.99254446176731,19.45420784045651,18.12456159979586,18.49472181527637,19.261857633817026,19.700419655090062,19.610634695314854,20.473404685486816,20.245515425141846,18.63382838565204,18.63493685819772,20.902415276192094,19.129548569645173,0,21.612807065064146,0,0,0
20.48338635136298,19.948192324321568,19.438725085576635,20.410596052820928,19.897320217707218,19.415450203362884,19.948192324321568,19.561828010460616,19.190711805656765,19.898755342553446,19.63899684487712,19.344552220690854,0,17.99279838242645,18.80331804321527,19.53069062960242,20.39596102288857,19.97905334583006,20.754809950270843,20.205963584337923,18.868957672162992,19.20325769393714,19.965065187681446,20.441595898178516,20.366129379313875,21.235489346546675,21.02440565101848,19.397200797485965,19.376113101286176,21.64777000500683,19.877625085206336,0,22.396678994413506,0,0,0
21.225568279172247,20.682142090247858,20.16457078770841,21.131319283370324,20.610100261625146,20.12043964718844,20.682142090247858,20.28766907117086,19.908796080823766,20.611236372073687,20.34369927384922,20.042059631197418,0,18.71064943050585,19.51365916196314,20.235151604982683,21.093416115019043,20.6738674605033,21.508782474243397,20.949623458528972,19.626464509700778,19.90580151118712,20.660377906622283,21.17412925064069,21.113515973460967,21.99016180328843,21.795518661052164,20.153048008111952,20.108646453748346,22.384401870274516,20.61767441785194,0,23.17271220446937,0,0,0
21.95951340367701,21.407945920692644,20.88235648917326,21.84375809075834,21.314682561892567,20.817316017579117,21.407945920692644,21.0054506273387,20.618878352367048,21.315551592876016,21.04031863057206,20.731559519743232,0,19.420523447506678,20.216063485271146,20.931555341986535,21.78286921285957,21.360695604852793,22.254563265923505,21.685271946440132,20.379567051858416,20.600746381742926,21.34774510419076,21.898111842385727,21.852878206509608,22.737399438093053,22.558942363114035,20.901307996181945,20.832629045493388,23.11241513881078,21.349779074290293,0,23.940985082424675,0,0,0
22.685313088824785,22.125694224604338,21.592172075199127,22.548035016952685,22.01118885148053,21.506200248567495,22.12569422460433,21.715262511006802,21.321050879842108,22.01181931495753,21.728972645816032,21.413169024974906,0,20.122510015062392,20.910624767182796,21.620016801470555,22.464436863712308,22.03965080192885,22.99225081238229,22.412993679269167,21.125042617626512,21.28785929122459,22.02724513828757,22.61364313102479,22.584300130222438,23.47720136181001,23.314732611721546,21.641995789936708,21.54816033413245,23.83191255865186,22.07402195984565,0,24.70157523160043,0,0,0
23.403057690378713,22.835476407605444,22.294106387372597,23.24426796207299,22.699736214194168,22.18720863972248,22.835476407605444,22.417193516280822,22.015404529091693,22.700153566277674,22.409774759204662,22.08700069401357,0,20.816697608336685,21.597435113611542,22.30064695024698,23.138231086755496,22.710842759389152,23.721941186724646,23.132873417930444,21.86292076668981,21.967238809188366,22.698986332791456,23.320825063370084,23.307866067597132,24.209580747806076,24.06295366066408,22.375173524559333,22.25534226647774,24.542995771032448,22.790486273586367,0,25.454559479284427,0,0,0
