"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (0, 6)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""White: (1, 6)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""White: (2, 6)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (3, 6)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""White: (4, 6)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)""","""Green: (5, 6)""","""White: (6, 0)""","""White: (6, 1)""","""Wall: (6, 2)""","""White: (6, 3)""","""White: (6, 4)""","""White: (6, 5)""","""Wall: (6, 6)"""
10.041905677485575,9.622138402959076,9.222985049572447,8.844082799611114,8.495112637099826,8.168503067159692,7.858998238430221,9.622138402959077,9.346503277109376,9.053009121960223,8.779124776232518,8.615864237816918,8.416880007482007,8.195031458419448,0,7.8766519725497375,8.683349124353441,8.634499650055025,9.516402574689414,9.130296893900773,8.783131280042442,10.157169152037431,9.765220511770593,8.537712263724295,8.468665529254245,9.135423660556224,8.876230108053981,8.682713181656808,9.877054659262004,10.770338118875319,10.391791782827124,8.862603781178647,7.8844306921728275,8.593741823457718,9.206929039178855,9.491137710691916,0,11.564504785691637,0,0,0,10.466174574128358,9.0675218058088,8.696062346815323,0,-0.41864698296513414,-0.41864698296513414,-0.41864698296513414,0
10.899929660532596,10.470639817468594,10.062070158416862,9.673857115474675,9.315681546072701,8.97997270887911,8.661487325420373,10.470639817468594,10.18558798043858,9.882782189501617,9.599690813872723,9.427331452542647,9.219363201088985,8.988752897203295,0,8.70642578910077,9.503915112561705,9.445966575625057,10.318918284091835,9.924047018605888,9.569320380543015,11.02786612573229,10.622269598469607,9.382512504631421,9.274481208248625,9.929503701314694,9.662454710150042,9.4715128229913,10.73816185661557,11.622492354456677,11.238768656471674,9.696676189878865,8.674918314761559,9.382967018478936,10.08960997241778,10.34386945715653,0,12.448859737834722,0,0,0,11.361512828387074,9.910939441177758,9.53128438208222,0,-0.4544605131354828,-0.4544605131354828,-0.4544605131354828,0
11.748430669463934,11.309723642208246,10.891841507072863,10.494419718607103,10.127138703999746,9.782428108654642,9.455056844094221,11.309723642208246,11.01535920196821,10.703344393302643,10.411147002624679,10.229788067899811,10.012933187375445,9.77365642964044,0,9.526988237223406,10.315371285967691,10.248423093514639,11.112520975215828,10.708980014225961,10.346783927277505,11.888906741832413,11.4698127181076,10.217951527042716,10.071349157670976,10.714763195285219,10.439953497076337,10.251646165754293,11.589718906427423,12.465195576074382,12.07644921147378,10.521582284894668,9.456642831699881,10.163522197292107,10.963378244883842,11.187143526407514,0,13.324371140456375,0,0,0,12.247897700103204,10.74499783141749,10.35723259013493,0,-0.489915908004128,-0.489915908004128,-0.489915908004128,0
12.587514367070982,12.139494580293686,11.712403111729774,11.30587436989193,10.929588251372465,10.575974663393973,10.239814547507759,12.139494580293686,11.835920765978637,11.514798912027132,11.213596187202741,11.023336993696812,10.79769341209225,10.549846431380805,0,10.338442839450998,11.117820465689089,11.041971982914157,11.897313729177235,11.485199517516062,11.115625784989097,12.740398078708996,12.30795548147454,11.04413343936696,10.85937257729858,11.491305754871489,11.208830258014675,11.023214963305044,12.431831812105205,13.298754717585231,12.905095689730015,11.337550317623304,10.229720336834843,10.935510323937772,11.82832494679508,12.02106521341601,0,14.19112742905181,0,0,0,13.125418723102172,11.569804460759169,11.174017185767978,0,-0.5250167489240868,-0.5250167489240868,-0.5250167489240868,0
13.417285264509319,12.960056048772342,12.523857390979632,12.108322638808243,11.72313112919799,11.360712993797945,11.015861127997942,12.960056048772342,12.647375031746845,12.317247132953707,12.007138896849856,11.808078047284233,11.5737431520692,11.317421780824525,0,11.140891092352371,11.911363173750726,11.826713019694955,12.673395708011821,12.252804168343665,11.875943938997013,13.58244603752813,13.136822196906104,11.86119260743423,11.647326615482418,12.260088931221574,11.96926798688632,11.786382865307383,13.264625328161634,14.12341611709878,13.724925248354351,12.145643613074112,10.995024673291665,11.699171858002554,12.684553812371886,12.845754172160387,0,15.049216154761293,0,0,0,13.99416453587115,12.385475647357215,11.981752115488975,0,-0.5597665814348459,-0.5597665814348459,-0.5597665814348459,0
14.237846719506265,13.771510278820363,13.32630548869513,12.901864639076697,12.507866502620487,12.136741428516276,11.783294219358314,13.771510278820363,13.449823124591362,13.1107891122585,12.791874165127128,12.584109297633285,12.341179577814696,12.076478803306417,0,11.934433087020565,12.69609844147357,12.60274425957974,13.440949078243786,13.011965978874482,12.627900360461357,14.415157326925566,13.956531674132865,12.669254431206195,12.44413990890804,13.02215905165272,12.72152270504764,12.541378945508225,14.088220706005831,14.939247014223891,14.560383366673447,12.966212195081605,11.755422990164286,12.455003685848812,13.5321945047338,13.661330125244376,0,15.898723993213682,0,0,0,14.854222890512439,13.192129007715321,12.780553092977351,0,-0.5941689156204976,-0.5941689156204976,-0.5941689156204976,0
15.049300944683297,14.573958355126933,14.119847382754942,13.686599268758096,13.283892225081537,12.904156821891343,12.542209732181753,14.573958355126933,14.243365016531692,13.895523729691725,13.567899803221293,13.351535933180472,13.100112616354751,12.827130091324632,0,12.71916771441402,13.47212407934123,13.370170886752181,14.200171145806214,13.76287744429736,13.371681330529963,15.238639028185258,14.76718516845788,13.470828890574094,13.236198406436229,13.776349937515427,13.466439382396691,13.288903698549294,14.902721414625468,15.748731008613916,15.394568779791095,13.786537123144814,12.508781690602587,13.243720911505477,14.375360155493542,14.467898725181758,0,16.739736753281548,0,0,0,15.705680661607314,13.989871318312527,13.570527596513038,0,-0.6282272264642926,-0.6282272264642926,-0.6282272264642926,0
15.851749018870386,15.367500236739552,14.904581927629946,14.462624294808878,14.051305829156572,13.663056891078371,13.292705700261202,15.367500236739552,15.028099560174422,14.67154874634829,14.335313330082391,14.11046437794657,13.850655286535881,13.569493302984744,0,13.495192739239911,14.239537606081065,14.129099323862096,14.95104128172952,14.505617067354105,14.107430020496324,16.05299679416099,15.569121912013035,14.264521086515668,14.021148708774096,14.52249591615569,14.209001225502405,14.067577830632006,15.708467250876206,16.552195525858288,16.221406040850294,14.600314481713406,13.258376269523977,14.063104734714667,15.214307108123608,15.265750010279945,0,17.572339385748734,0,0,0,16.54862385499124,14.77895350070945,14.351895636671468,0,-0.6619449541996498,-0.6619449541996498,-0.6619449541996498,0
16.645290899250732,16.152234772101068,15.680606876227893,15.230036470836726,14.8102041354059,14.413539180825286,14.034880732534976,16.152234772101068,15.804124507830535,15.438960913950373,15.094211487523882,14.860978794415324,14.592891673746697,14.303658970157484,0,14.262604914388561,14.998435763435513,14.879613725590255,15.693618067014013,15.240732906100762,14.839412904909965,16.858358401434185,16.362485097520313,15.049852535860381,14.797996100924486,15.261038244391363,14.94782221599869,14.882255834250337,16.50562546883259,17.349314975938373,17.040306109820524,15.406355186659006,14.025255344711551,14.88181299775452,16.046025983634998,16.055073873350842,0,18.396615991891245,0,0,0,17.383137616441328,15.559572572294579,15.12485681331826,0,-0.6953255046576534,-0.6953255046576534,-0.6953255046576534,0
17.430025433670412,16.928259712180196,16.448018903274367,15.988931519271002,15.560680873314936,15.155695906268058,14.768826588330858,16.9282597121802,16.571536534033644,16.197855946958924,15.844687889232734,15.603168403364894,15.32695582788951,15.030164725519334,0,15.02149996205923,15.748912165068768,15.621803301248523,16.428024672716703,15.968198567136561,15.568142900589358,17.654854257092286,17.147355250478856,15.826837967593296,15.566643360636737,15.991927632878536,15.67975783016402,15.694091931815942,17.294283675649417,18.13978184970472,17.851187432177877,16.204467302467158,14.805639218335408,15.694048091002855,16.86971232561068,16.835977298037804,0,19.212649831972332,0,0,0,18.209306240276913,16.331852529221614,15.889548852180535,0,-0.7283722496110769,-0.7283722496110769,-0.7283722496110769,0
