"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""White: (4, 5)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)"""
10.041905677653412,9.622138406305885,9.222985090773697,8.844083222321819,8.495116644147906,8.168539803361723,9.622138406305885,9.346503315444695,9.053009508263903,8.779128406940679,8.615897401705631,8.417179769379048,0,7.876652392858999,8.68335275482386,8.634532776662551,9.5167019175826,9.132992548094709,10.157169152088164,9.765220553859487,8.537712660606058,8.468961628213743,9.138118952119346,8.90046770655159,9.87705465977621,10.770338123887468,10.39179182608804,8.862636382616996,7.88419856567028,8.559113435302894,9.49113771116129,0,11.564504785691637,0,0,0
10.899929661013475,10.47063982197598,10.062070204309702,9.673857553110272,9.315685572602838,8.980009211202784,10.470639821975983,10.185588022698727,9.882782586931617,9.599694451497353,9.427364367114265,9.219659752924953,0,8.706426223597996,9.503918749875638,9.445999451664271,10.319214414322229,9.926710434631385,11.027866125828398,10.622269642057153,9.382512903529669,9.274774119427356,9.932166756915121,9.686385476111262,10.738161857238795,11.622492359761642,11.238768700164131,9.696708450232382,8.67360243814477,9.33765616855144,10.343869457743063,0,12.448859737834722,0,0,0
11.748430670338628,11.309723647530989,10.891841555177436,10.494420160156684,10.12714271087609,9.78246425446251,11.309723647530989,11.015359246056343,10.70334479307688,10.411150617687165,10.229820644602869,10.01322624474577,0,9.526988675250513,10.315374900681453,10.248455631393602,11.112813612814014,10.711609941713547,11.888906741979744,11.46981276211416,10.217951924078127,10.071638609482067,10.71739276582244,10.463569119788566,11.589718907131001,12.465195581513457,12.076449255088031,10.52161416894145,9.45424283394317,10.107544744119512,11.187143527080881,0,13.324371140456375,0,0,0
12.587514368377285,12.139494586219957,11.712403160763385,11.305874810331142,10.929592221974682,10.576010399225568,12.139494586219957,11.835920810836594,11.514799310265623,11.213599767461124,11.023369193473291,10.797982814983818,0,10.338443276199847,11.117824045582127,11.042004144010429,11.897602716026539,11.487794992635486,12.740398078909921,12.307955525410277,11.044133832891283,10.85965841532892,11.493900877069649,11.23212316385627,12.431831812872462,13.298754726286747,12.905095735580522,11.337581808422541,10.226237023340826,10.86888594075274,12.021065214157003,0,14.19112742905181,0,0,0
13.417285266259938,12.96005605518647,12.523857440339556,12.108323075950365,11.72313505628204,11.360748292782107,12.96005605518647,12.647375076887444,12.317247528001104,12.007142436952995,11.808109849525323,11.5740287860804,0,11.140891525751272,11.911366713483284,11.826744783588246,12.673680930534795,12.255364340027292,13.582446037783114,13.136822240875993,11.861192997231104,11.647333186416104,12.262621475660525,11.99222827661378,13.26462532930099,14.123416128642376,13.724925296086772,12.145647418989748,10.990435011337643,11.621917569335062,12.845754173209473,0,15.049216154761293,0,0,0
14.237846721701068,13.771510285662565,13.326305538110477,12.901865071960932,12.50787038266799,12.13677627388044,13.771510285662565,13.449823169797455,13.110789503387366,12.791877662382165,12.58414068861375,12.341461346158958,0,11.934433516163805,12.69610193835825,12.602775612627088,13.441227739463807,13.014487642309838,14.415157327265554,13.956531718030133,12.669254816889923,12.444143695106888,13.024653194855684,12.74414547838487,14.088220707530715,14.939247028242894,14.560383744846977,12.966213246214375,11.749750281065095,12.367158336070434,13.661330126659804,0,15.898723993213682,0,0,0
15.049300947316246,14.57395836236501,14.119847432101377,13.686599696924258,13.283896056020907,12.90419120075246,14.57395836236501,14.243365061702576,13.895524116543946,13.567903255948393,13.351566634464115,13.100389979958747,0,12.719168138866126,13.472127531700636,13.37020155055641,14.200445391143338,13.765361760161545,15.23863902863915,14.767185212226002,13.470829304461207,13.236201874013585,13.778807137672972,13.487938823037672,14.902721416523796,15.748731057344079,15.394568888677526,13.786537656735169,12.50203115632475,13.104497307592961,14.467898726965487,0,16.739736753281548,0,0,0
15.851749021932912,15.36750024435356,14.904581976843907,14.462624717994771,14.051309583009878,13.663090726634234,15.36750024435356,15.028099605256873,14.671549128709355,14.335316710524378,14.110494577176478,13.850928501316554,0,13.495193158749554,14.239540986159101,14.129129486088251,14.951311422751992,14.507986511930648,16.05299679475334,15.569121958837918,14.264521469008457,14.02115205059422,14.524838643309137,14.223590286617407,15.708467256357569,16.552195575774988,16.221406098617493,14.600314911130665,13.246448615154478,13.833827153352985,15.265750014974362,0,17.572339385748734,0,0,0
16.64529090273323,16.152234780076153,15.680606925270087,15.230036886237308,14.8102078257584,14.413572501567783,16.152234780076153,15.80412455279008,15.438961289041236,15.094214811780892,14.861008536532998,14.59315310327048,0,14.262605326155702,14.998439087332812,14.879643431428864,15.69387646849603,15.242407758647756,16.858358402504628,16.362485144074803,15.049852907516325,14.797999378666324,15.262687539911948,14.951128449675432,16.50562547516479,17.34931502181824,17.04030615687494,15.406355590934854,14.024238107371982,14.559242192954715,16.05507387929544,0,18.396615991891245,0,0,0
17.43002543756285,16.928259720503537,16.448018951855627,15.98893192797346,15.560684506821831,15.15572796428188,16.928259720503537,16.571536578583732,16.197856316117974,15.844691162946269,15.603196937609916,15.327147411157087,0,15.02150036717368,15.748915438427089,15.621831799838835,16.428213348747022,15.96869428243006,17.654854258672938,17.147355296379168,15.8268383326672,15.56664651115902,15.992404693330254,15.670615652842175,17.29428368207029,18.139781891335623,17.851187476322643,16.204467689354825,14.805586047238545,15.278245592830137,16.83597730430017,0,19.212649831972332,0,0,0
