"""Green: (0, 0)""","""White: (0, 1)""","""White: (0, 2)""","""White: (0, 3)""","""White: (0, 4)""","""White: (0, 5)""","""White: (0, 6)""","""White: (1, 0)""","""White: (1, 1)""","""White: (1, 2)""","""White: (1, 3)""","""White: (1, 4)""","""White: (1, 5)""","""White: (1, 6)""","""Wall: (2, 0)""","""Brown: (2, 1)""","""White: (2, 2)""","""White: (2, 3)""","""Green: (2, 4)""","""White: (2, 5)""","""White: (2, 6)""","""Green: (3, 0)""","""White: (3, 1)""","""Brown: (3, 2)""","""White: (3, 3)""","""White: (3, 4)""","""White: (3, 5)""","""White: (3, 6)""","""White: (4, 0)""","""Green: (4, 1)""","""White: (4, 2)""","""Brown: (4, 3)""","""Brown: (4, 4)""","""Green: (4, 5)""","""White: (4, 6)""","""White: (5, 0)""","""Wall: (5, 1)""","""Green: (5, 2)""","""Wall: (5, 3)""","""Wall: (5, 4)""","""Wall: (5, 5)""","""Green: (5, 6)""","""White: (6, 0)""","""White: (6, 1)""","""Wall: (6, 2)""","""White: (6, 3)""","""White: (6, 4)""","""White: (6, 5)""","""Wall: (6, 6)"""
10.041905680036274,9.622138426076516,9.222985284849859,8.844085058462163,8.49513357073647,8.168694062219094,7.8596473105901765,9.622138426076516,9.346503493830648,9.05301117475204,8.779143702401614,8.616036578753869,8.418462351606095,8.199424132801086,0,7.876654215353854,8.68336804893389,8.634671792095412,9.517982727761197,9.145430393047018,8.81532167790333,10.157169152539646,9.765220736749697,8.537714337547085,8.470228825881726,9.150555274000304,9.023813353408599,8.935044478604246,9.877054662465088,10.770338146228836,10.391792009799566,8.862775629207158,8.035830531788452,10.085822628630162,10.087166096865394,9.491137713707555,0,11.564504785691637,0,0,0,11.273135642795948,9.067521808606505,8.696062349419314,0,-0.41864698296513414,-0.41864698296513414,-0.41864698296513414,0
10.899929665093895,10.470639844825174,10.062070406602126,9.6738594093544,9.315702497008228,8.980164862599212,8.662138644074313,10.470639844825174,10.185588208039682,9.882784267865494,9.599709729093004,9.427504942693833,9.221017844922494,8.993314705054402,0,8.706428064931913,9.503934025995177,9.446139864063543,10.320570733791046,9.940130309797286,9.607490764541659,11.027866126496868,10.622269827090433,9.382514580599304,9.276116687943688,9.945585095256384,9.819472736347373,9.805732752997603,10.738161860246217,11.622492382673613,11.238768884340306,9.696855295795457,8.835388509961192,10.959659789850168,10.971959191879233,10.343869460629103,0,12.448859737834722,0,0,0,12.160404286367989,9.910939444462805,9.531284385199568,0,-0.4544605131354828,-0.4544605131354828,-0.4544605131354828,0
11.748430676236351,11.309723672812812,10.891841761640043,10.494422019925208,10.12715977631127,9.782627630883175,9.45573096522322,11.309723672812812,11.0153594349949,10.703346475491848,10.411166035104431,10.22996882030284,10.014688341807215,9.778892117958039,0,9.526990519517742,10.315390316564091,10.248603643787868,11.114273923520356,10.726086894165428,10.393938682403629,11.888906742873086,11.469812947672429,10.217953615446099,10.073084418239539,10.731868105732229,10.673273038575587,10.677213253334097,11.589718910404548,12.465195604744657,12.076449440932572,10.521771988908062,9.626301285836991,11.831452029982502,11.84857790576776,11.187143530244965,0,13.324371140456375,0,0,0,13.038800243504308,10.744997835090588,10.357232593661262,0,-0.489915908004128,-0.489915908004128,-0.489915908004128,0
12.587514376135058,12.13949461357193,11.712403369425026,11.305876686032555,10.92961006640258,10.576185453887192,10.240566564713601,12.13949461357193,11.835921001766284,11.514801008311823,11.213615951235186,11.023528348380637,10.799559414374674,10.556067075649349,0,10.338445136170998,11.117840227798892,11.042163134358875,11.899177451369402,11.509958954326642,11.177982244396063,12.740398080029971,12.307955712734387,11.044135601690051,10.861217569447035,11.516063111678806,11.527644367882422,11.542354605868502,12.431831816383509,13.298754763432061,12.905095940110689,11.33775195084482,10.463604083100206,12.696624244756695,12.716704805757335,12.021065217564244,0,14.19112742905181,0,0,0,13.908412241069266,11.569804464757315,11.174017189632725,0,-0.5250167489240868,-0.5250167489240868,-0.5250167489240868,0
13.417285275879959,12.960056084415413,12.523857652252959,12.10832503167385,11.723154128149229,11.360936811452113,11.016728685066008,12.960056084415413,12.647375271037006,12.317249304786445,12.007159777828106,11.808281370412205,11.576377526178566,11.325767382750172,0,11.140893465694328,11.911384052796134,11.826916132952249,12.676027681025191,12.286712090883992,11.95502005285337,13.582446039128671,13.136822437673422,11.861194889935128,11.647368493124532,12.293740196611642,12.375499787292839,12.399497791082783,13.264625334391651,14.123416178813926,13.724925523200337,12.145667938327632,11.308703485538775,13.553770485332713,13.576239548744775,12.845754177915907,0,15.049216154761293,0,0,0,14.769328118658574,12.385475652694014,11.98175212048094,0,-0.5597665814348459,-0.5597665814348459,-0.5597665814348459,0
14.23784673316617,13.771510316857398,13.326305759697961,12.90186715782148,12.507890903352196,12.13704371488038,11.784445732899062,13.771510316857398,13.449823373493802,13.110791403244008,12.791896337155855,12.584389838880798,12.344788577164268,12.087279665903594,0,11.934435586137647,12.696120611559156,12.603024579993289,13.444530340868438,13.055376578049058,12.724049218056507,14.41515732896842,13.956531929273197,12.669256855325564,12.444171988731618,13.065215535794225,13.215592843744336,13.24827569545375,14.088220714350344,14.93924709113815,14.560385782488057,12.966219692509407,12.147604207495476,14.402548692184489,14.427207905829592,13.661330132992823,0,15.898723993213682,0,0,0,15.62163483747199,13.192129014874638,12.78055309963594,0,-0.5941689156204976,-0.5941689156204976,-0.5941689156204976,0
15.049300960619941,14.573958396155763,14.11984766888662,13.686601939760962,13.28392452977175,12.904569624491648,12.54371995707885,14.573958396155763,14.243365279895944,13.89552616144172,13.567929745317516,13.351917390484852,13.104753247315534,12.840473720212303,0,12.719170365249573,13.472154019440888,13.370552109962098,14.20477343079161,13.815894820201885,13.484974889750834,15.238639030831546,14.76718544060097,13.470832309346934,13.236239597447453,13.828911968864944,14.047460142977668,14.088626509421749,14.902721425161946,15.748731309738767,15.394569551847809,13.786542554769195,12.978493665669795,15.242899536098092,15.269675428028659,14.467898735060842,0,16.739736753281548,0,0,0,16.46541848909727,13.989871327504737,13.57052760511167,0,-0.6282272264642926,-0.6282272264642926,-0.6282272264642926,0
15.851749037131789,15.367500281337499,14.904582232021806,14.46262776458404,14.051349539655964,13.663591799716437,13.294599879427246,15.367500281337497,15.028099840654443,14.671551962693126,14.335353962033027,14.110956512004469,13.856346732879455,13.585404514589161,0,13.495196187882675,14.239578235939591,14.129591152936548,14.956683172731818,14.568169953513456,14.237719674559738,16.052996797561942,15.569122285933583,14.26452548145035,14.021201418371549,14.584490567377173,14.871015023192784,14.920587450727538,15.70846728442423,16.552195844104034,16.22140661008744,14.600320688530184,13.80111187166134,16.074860480368493,16.103720498296358,15.26575003880604,0,17.572339385748734,0,0,0,17.300764304206297,14.77895352506341,14.35189565766233,0,-0.6619449541996498,-0.6619449541996498,-0.6619449541996498,0
16.64529091993684,16.15223482066718,15.680607263245184,15.230041143425277,14.810260884707205,14.4142005354151,14.037167259056385,16.15223482066718,15.804124869521077,15.438965261079987,15.094264084115173,14.861584616305683,14.599629694518029,14.322120524486277,0,14.2626095646191,14.998488357813361,14.880219136143191,15.70029499901001,15.3122274662693,14.982312242831457,16.858358407785687,16.362485594429852,15.049858192610621,14.798061131190275,15.331872178499852,15.686283003745359,15.744226809643534,16.505625508690564,17.349315288289418,17.04030675521814,15.40636275028509,14.615454921417806,16.898499839577987,16.92942514238095,16.055073910566524,0,18.396615991891245,0,0,0,18.127756661164234,15.559572606258536,15.124856844373904,0,-0.6953255046576534,-0.6953255046576534,-0.6953255046576534,0
17.430025456909778,16.928259771201184,16.44801941869953,15.988937597136534,15.560751281532411,15.156484207737051,14.771504983098472,16.928259771201184,16.571537016987175,16.197861587328624,15.844752893758967,15.603887873630804,15.334681651642228,15.050695773467707,0,15.021506011774658,15.74897716680814,15.6225222362731,16.43567785628923,16.048132363064443,15.718818167275053,17.654854266697413,17.147355887930694,15.826844971521716,15.566720831114461,16.071104241832195,16.493329647041865,16.559622801977568,17.29428371812537,18.13978216518623,17.85118821220953,16.204476338628503,15.421581230107517,17.71389583194108,17.746872052099956,16.835977339047467,0,19.212649831972332,0,0,0,18.946479094552593,16.331852568138206,15.889548889151495,0,-0.7283722496110769,-0.7283722496110769,-0.7283722496110769,0
